CATEGORYNAME,TITLE,PRICE,WEIGHT,UNIT,DESCRIPTION,
Vegetables,Carrot,25cedis,500g,grams or kilo,,
Vegetables,Cucumber,36cedis,kg,kg or 500g,3 or 4 cucumber per kilo,
Fruits,Orange,28cedis,kg,4 each,6 or 7 oranges per kilo,
Vegetables,Onion Red,40cedis,kg,kg or 500g,,
Vegetables,Onion White,,,,,
Meat & Poultry,Eggs,4 cedis,,4,,
Meat & Poultry,Eggs by the crate,108 cedis,,3.6,30 eggs per crate,
Vegetables,Avocado,45 cedis,kg,"350g, 650g or 1kg",appx 3 or 4 avocados per kilo,
Fruits,Pineapple,15 cedis,,each,,
Fruits,Banana,24 cedis,1kg,kg or 500g,,
Vegetables,Lettuce green,12 cedis,200g ,200g,,
Vegetables,Lettuce green,20 cedis,200g ,grams,,
Vegetables,Amaranth,12 cedis,400g,grams,,
Vegetables,Arugula (Rocket),20 cedis,200g ,grams,,
Vegetables,Arugula (Rocket),20 cedis,200g ,grams,,
Vegetables,Bokoboko (Waterleaf),12 cedis,200g ,grams,,
Vegetables,Bokoboko (Waterleaf),12 cedis,200g ,grams,,
Vegetables,Celery Leafy (West African),20 cedis,200g ,grams,,
Vegetables,Celery Leafy (West African),20 cedis,200g ,grams,,
Vegetables,Spring Onions,12 cedis,200g ,grams,,
Vegetables,Swiss Chard,20 cedis,200g ,grams,,
Vegetables,Swiss Chard,20 cedis,200g ,grams,,
Vegetables,kale (Lacianto),20cedis,200g ,grams,,
Vegetables,Swiss Chard,20 cedis,200g ,grams,,
Vegetables,Radish (Red),25 cedis,500g,grams or kilo,,
Vegetables,Radish (White),,,,,
Vegetables,Amaranth,12 cedis,400g,grams,,
Vegetables,Spearmint,15 cedis,75g,grams,green stems,
Vegetables,Peppermint,15 cedis,75g,grams,purple stems,
Vegetables,Baby Spinach American,12 cedis,200g ,grams,,
Vegetables,Mustard Green (Red Giant),20 cedis,200g ,grams,,
Vegetables,Parsley,15 cedis,75g,grams,,
Vegetables,Kontomire (Cocoayam Leaves),16 cedis,200g ,grams,,
Vegetables,Collard greens ,20 cedis,200g ,grams,,
Vegetables,Spring Onions,12 cedis,200g ,grams, ,
Fruits,Passion Fruit,54 cedis,1kg,kg or 500g,Appx 6 pasion fruits make 1kg,same as #30
Vegetables,Green beans (local),12 cedis,200g ,grams,,
Vegetables,Green beans (German),12 cedis,200g ,grams,,
Vegetables,Cilantro (Coriander),15 cedis,75g,grams, ,
Vegetables,Radish (White),40 cedis,1kg,kg or 500g,,
Vegetables,Sweet Potatoes (White),36 cedis,1kg,kg or 500g,,
Fat & Oils,Coconut Fat & Oils (Virgin),100 cedis,1 Liter,1 liter,,
Nuts,Peanut Butter,70 cedis,580g,580g,,
Nuts,Peanut Butter,110 cedis,1000g,1000g,,
Preservatives,Honey Pure (Savelugu,95 cedis,500ml,500ml,Pure Raw Savelugu Honey,
Fat & Oils,Palm Oil (Dzomi),70 cedis,1 Liter,1 liter,,
Fat & Oils,Sesame Oil Original,100 cedis,250ml,250ml,,
Fat & Oils,Sesame Oil Lightly Toasted,100 cedis,250ml,250ml,,
Fat & Oils,Sesame Oil Toasted,100 cedis,250ml,250ml,,
Beverages,Orange Juice,50 cedis,1 Liter,1 liter,Orange,
Beverages,Pineapple Juice,40 cedis,1 Liter,1 liter,Pineapple,
Beverages,Pine Orange Juice,40 cedis,1 Liter,1 liter,Pine/Orange,
Beverages,Pine Ginger Juice,40 cedis,1 Liter,1 liter,Pine/Ginger,
Beverages,Ginger Orange Pine Juice (aka Trump),40 cedis,1 Liter,1 liter,Ging/Ora/Pine,
Beverages,Passion Fruit Pine,40 cedis,1 Liter,1 liter,PassionFruit/Pine,
Beverages,Passion Fruit Pine Ginger,40 cedis,1 Liter,1 liter,PF/Pine/Ging,
Beverages,Passion Fruit Pine Orange,40 cedis,1 Liter,1 liter,PF/Pine/Ora,
Beverages,Passion Fruit Ginger Pine,40 cedis,1 Liter,1 liter,PF/Ging/Ora/Pine,
Beverages,Coffee Leklebi dark Ground,90 cedis,250g,250g,,
Beverages,Coffee Leklebi dark Whole bean,90 cedis,250g,250g,,
Beverages,Coffee Leklebi Medium Ground,90 cedis,250g,250g,,
Beverages,Coffee Leklebi Medium Whole Bean,90 cedis,250g,250g,,