CATEGORYNAME,TITLE,PRICE,WEIGHT,UNIT,DESCRIPTION
Vegetables,Lettuce Red,12 cedia,200g ,grams,
Vegetables,Lettuce Romain,12 cedis,200g ,grams,
Vegetables,Lettuce Mixed,12 cedis,200g ,grams,
Vegetables,Kale (Curly),25cedis,150g,grams,
Vegetables,Kale (Zambian),25cedis,150g,grams,
Vegetables,Kale (Russian),25cedis,150g,grams,
Vegetables,Okra ,20 cedis,100g,grams,
Vegetables,Basil Regular,15 cedis,100g,grams,
Vegetables,Basil Thai,15 cedis,100g,grams,
Vegetables,Mushrooms 200g,30 cedis,200g ,grams,
Vegetables,Mushrooms 400g,45 cedis,400g,grams,
Preservatives,Mango Jam,65 cedis,500ml,ml,
Preservatives,Mango Bissap Jam ,65 cedis,500ml,ml,
Preservatives,Mango Blossom Honey ,65 cedis,500ml,ml,
Nuts,Peanuts Gari Roasted (Husked),36 cedis,350ml,350ml,
Nuts,Peanuts Gari Roasted (Not Husked),32 cedis,350ml,350ml,
Spicies & Herbs,Pepper Dried Ground,40 cedis,200ml,200ml,
Spicies & Herbs,Pepper Dried Flakes,40 cedis,200ml,200ml,
Spicies & Herbs,Ginger,25 cedis,500g,grams or kilo,
Beverages,Mango Juice,40 cedis,1 Liter,1 Liter,Mango
Beverages,Mango Orange Juice,40 cedis,1 Liter,1 Liter,Mango/Orange
Beverages,Mango Pineapple Juice,40 cedis,1 Liter,1 Liter,Mango/Pine
Beverages,Mango Orange Pineapple Juice,40 cedis,1 Liter,1 Liter,Mango/Ora/Pine
Beverages,Kawa Moka Coffee,,,,
Vegetables,Aubergine,,,,
Vegetables,Dandelion ,24 cedis,,,
Vegetables,Bell Pepper Red,,,,
Vegetables,Bell Pepper Green,,,,
Vegetables,Cabbage,,,,
Vegetables,Chinese Cabbage,,,,
Vegetables,Cherry tomatoes ,,,,
Vegetables,Tomatoes ,,,,
Vegetables,Pak  choi,,,,
Spicies & Herbs,Garlic (local),,,,
Seeds & Seedlings,Cherry tomato seedling,,,,
Seeds & Seedlings,Bell pepper seedling,,,,
Seeds & Seedlings,Kale seedling,,,,
Seeds & Seedlings,Mint seedling,,,,
Seeds & Seedlings,Collard greens seedling,,,,
Seeds & Seedlings,Peppermint Seedling,,,,
Seeds & Seedlings,Amaranth Seedling,,,,
Seeds & Seedlings,Arugula Seedling ,,,,
Seeds & Seedlings,Chili Peppers Seedling,,,,
Seeds & Seedlings,Cilantro Seedling,,,,
Seeds & Seedlings,Green Lettuce Seedling ,,,,
Seeds & Seedlings,Aubergine Seedling ,,,,
Seeds & Seedlings,Baby Spinach Seedling,,,,
Seeds & Seedlings,Basil Regular Seedling,,,,
Seeds & Seedlings,Basil Thai Seedling ,,,,
Seeds & Seedlings,Bell Pepper (Red) Seedling ,,,,
Seeds & Seedlings,Oregano (Cuban) Seedling,,,,
Seeds & Seedlings,Oregano Seedling,,,,
Seeds & Seedlings,Kale Lacianto Seedling,,,,
Seeds & Seedlings,Marigold Seedling,,,,
Seeds & Seedlings,Lettuce Green Seedling,,,,
Seeds & Seedlings,Cele Seedling,,,,
Seeds & Seedlings,Collard Greens Seedling,,,,
Seeds & Seedlings,Lemongrass Seedling,,,,
Seeds & Seedlings,Okra Seedling,,,,
Seeds & Seedlings,Pakchoi Seedling,,,,
Farming Supplies,Organic sFat & Oils (12kg sack),,,,
Farming Supplies,Organic sFat & Oils (25kg sack),,,,
Farming Supplies,Chicken manure (25kg sack),,,,
Farming Supplies,Pesticide (1L),,,,
Seeds & Seedlings,Collard greens seedlings,,,,
Vegetables,Oregano (Cuban),,,,
Vegetables,Pakchoi,,,,
Vegetables,Thyme,,,,
Fruits,Beets / Beetroot,,,,
Fruits,Lemon,,,,
Fruits,Lime,,,,
Fruits,Mango (sliced),,,,
Fruits,Mango (frozen),,,,
Fruits,Pawpaw,50,,,
Fruits,Soursop,,,,
Meat & Poultry,Plenteous Wings ,,,,
Meat & Poultry,Back bacon,,,,
Meat & Poultry,Liver,,,,
Meat & Poultry,Beef Fillet,,,,
Meat & Poultry,Stewing Beef,,,,
Meat & Poultry,Chicken burger,,,,
Meat & Poultry,Chicken breast,,,,
Meat & Poultry,Chicken sausage,,,,
Meat & Poultry,Chicken thighs,,,,
Meat & Poultry,Chicken wings,,,,
Meat & Poultry,Chicken drumsticks,,,,
Meat & Poultry,Organic Chicken broiler,,,,
Meat & Poultry,Organic Chicken Whole,,,,
Meat & Poultry,COBB 500 Chicken (Cut Up),,,,
Meat & Poultry,Cooked ham slices,,,,
Meat & Poultry,Minced beef,,,,
Meat & Poultry,Pork sausage,,,,
Meat & Poultry,Stewing beef,,,,
Meat & Poultry,Beef fillet,,,,
Meat & Poultry,Beef burger,,,,
Processed Meats,Cooked Ham Sausage Slices,,,,
Processed Meats,Streaky Bacon ,,,,
Processed Meats,Cooked Garlic Sausage Slices,,,,
Processed Meats,Home Made Bacon,,,,
Seafood,Dressed Prawns,,,,
Preservatives,Kimchi,,,,
Preservatives,Sauerkraut,,,,
Preservatives,Pickled cucumbers (including mini),,,,
Preservatives,Pickled Red onions,,,,
Preservatives,Pickled hot peppers,,,,
Preservatives,Pickled sweet peppers,,,,
Beverages,Blue tea & Lemongrass tea,,,,
Beverages,Bamboo Leaf Tea ,,,,
Beverages,Mango Leaf Tea,,,,
Beverages,Avocado Leaf Tea ,,,,
Beverages,Guava Leaf Tea,,,,
Beverages,Bitter Leaf Tea,,,,
Beverages,Pawpaw Leaf Tea,,,,
Beverages,Muted Bissap & Spice Tea,,,,
Beverages,Kinkeliba and Guava Tea,,,,
Beverages,Bissap & Spice Tea ,,,,
Beverages,Muted Bissap & Spice Tea ,,,,
Beverages,Morning Coffee,,,,
Sauces & Condiments,Mango Moringa Hot Sauce,,,,
Sauces & Condiments,Mango Habanero Hot Sauce,,,,
Sauces & Condiments,Cured Salsa,,,,
Vegetables,Oyster Mushrooms,,,,
Vegetables,African Basil (Nunum) ,,,,
Vegetables,Coriander,,,,
Vegetables,Cauliflower,,,,
Vegetables,Yam,,,,
Other,Palm Wine ,40 cedis,,,
Other,Gallon Palm Wine ,200 cedis,,,
Other,Aloe Vera ,,,,
Ice Cream & Sorbets,Vibrant Mango Sorbet,,,,
Ice Cream & Sorbets,Sweet Tooth Pineapple (Passion Fruit & Cinnamon) ,65 cedis,,,
Ice Cream & Sorbets,Sweet Tooth Pineapple (Soursop & Vanilla) ,65 cedis,,,
Ice Cream & Sorbets,Sweet Tooth Pineapple Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Sorbet Pineapple (Passion Fruit & Cinnamon) ,260 cedis,,,
Ice Cream & Sorbets,Coconut Ice Cream ,75 cedis,,,
Ice Cream & Sorbets,Caju Caju Ginger Sorbet,65 cedis,,,
Ice Cream & Sorbets,Caju Caju Lemon Sorbet,65 cedis,,,
Ice Cream & Sorbets,Caju Caju Ginger Sorbet,260 cedis,,,
Ice Cream & Sorbets,Vanilla Date Ice Cream ,75 cedis,,,
Ice Cream & Sorbets,Aromatic Orange Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Pineapple Sorbet ,65 cedis,,,
Ice Cream & Sorbets,Lemon Sorbet,,,,
Ice Cream & Sorbets,Toasted Coconut Ice Cream, 225 cedis,,,
Fat & Oils,Neem Oil ,225 cedis,500ml ,ml,
Vegetables,Curry Leaves,,,,
Vegetables,Dill,,,,
Vegetables,Ginger,,,,
Vegetables,Pepper Fine,,,,
Vegetables,Pepper Flakes,,,,
Spicies & Herbs,Tumeric,,,,